,Formation Energy,Magnetic order,Has_FM,Has_AFM
Mo2Ir2Br12,afm_so,spin_so,True,True
Ti2Ni2Br12,afm_so,spin_so,True,True
Ti2Ru2Cl12,afm_so,afm_so,True,True
Ti2Ni2Cl12,afm_so,spin_so,True,True
Ir2Pd2Cl12,afm_so,spin_so,True,True
Ir4Br12,afm_so,afm_so,True,True
Ti2Cd2Cl12,afm_so,afm_so,True,True
Cr2Ir2Br12,spin_so,spin_so,True,True
Fe2Ir2Cl12,afm_so,spin_so,True,True
Ti2Cd2Br12,spin_so,spin_so,True,True
Ir4Cl12,afm_so,afm_so,True,True
Mo2Ir2Cl12,afm_so,spin_so,True,True
Cd2Ir2Br12,afm_so,spin_so,True,True
Zr2Ir2Br12,afm_so,afm_so,False,True
Ti2Pd2Cl12,afm_so,afm_so,False,True
Zn2Ir2Cl12,spin_so,spin_so,True,False
Cd2Ir2I12,afm_so,spin_so,True,True
Ti2Cd2I12,afm_so,afm_so,False,True
Ti2Pd2Br12,afm_so,afm_so,False,True
Ti4Cl12,spin_so,spin_so,True,True
Ir2Ru2Br12,spin_so,spin_so,True,False
Ti2Zn2Cl12,afm_so,afm_so,True,True
Ir2Au2Cl12,afm_so,afm_so,False,True
Cd2Ir2Cl12,afm_so,spin_so,True,True
Ir2Ru2I12,spin_so,spin_so,True,True
Fe2Ir2Br12,spin_so,spin_so,True,False
Zr2Ir2Cl12,afm_so,afm_so,False,True
Zr2Ti2I12,,,False,False
Ti4Br12,,,False,False
Ni2Ir2Cl12,,,False,False
Zr2Ti2Br12,,,False,False
Ti2Fe2I12,,,False,False
Fe2Ir2I12,,,False,False
Ti2Au2I12,,,False,False
Ir2Au2Br12,,,False,False
Ti2Ni2I12,,,False,False
Ti2Ir2I12,,,False,False
Ti2Mo2I12,,,False,False
Mo2Ir2I12,,,False,False
Ti2Pd2I12,,,False,False
Ti4I12,,,False,False
Ni2Ir2Br12,,,False,False
Ti2Cr2Br12,,,False,False
Ti2Cr2I12,,,False,False
Ti2Ru2Br12,,,False,False
Ti2Cr2Cl12,,,False,False
Ti2Au2Cl12,,,False,False
Ir4I12,,,False,False
Ti2Zn2I12,,,False,False
Ni2Ir2I12,,,False,False
Cr2Ir2I12,,,False,False
Ti2Ru2I12,,,False,False
Zn2Ir2I12,,,False,False
Zr2Ir2I12,,,False,False
Ti2Au2Br12,,,False,False
Ti2Zn2Br12,,,False,False
Ir2Au2I12,,,False,False
